date,low,high,open,close,volume
2013-07-29,440.2,449.99,440.8,447.79,8868032
2013-08-22,498.2,505.59,504.98,502.96,8716648
2013-07-15,424.8,431.46,425.01,427.44,8641796
2013-07-03,417.45,422.98,420.86,420.8,8604594
2013-08-29,491.13,496.5,491.65,491.7,8554933
2013-04-12,429.09,434.15,434.15,429.8,8523671
2013-07-25,435.81,441.4,440.7,438.5,8201932
2013-08-23,499.35,503.35,503.27,501.02,7948638
2013-07-18,430.61,434.87,433.38,431.75800000000004,7819534
2013-07-16,424.17,430.71,426.52,430.195,7725141
2013-07-22,425.468,429.75,429.46,426.31,7426793
2013-08-01,453.26,456.8,455.7527,456.676,7364089
2013-07-26,434.34,441.04,435.3,440.99,7150442
2013-07-17,428.22,432.22,429.7,430.31,7108579
2013-06-18,430.21,434.9,431.56,431.77,6966282
